Date,High,Low,Open,Close,rsi,label
2015-08-31 05:00:00,232.15,225.31,227.29,230.32,60.23,0
2015-08-31 09:00:00,232.52,229.5,230.56,231.75,62.47,0
2015-08-31 13:00:00,233.69,230.6,231.74,231.76,62.49,0
2015-08-31 17:00:00,232.49,230.18,231.76,230.62,59.4,0
2015-08-31 21:00:00,232.39,229.52,231.06,229.93,57.54,0
2015-09-01 01:00:00,230.65,228.95,229.93,228.95,54.92,0
2015-09-01 05:00:00,229.21,227.1,228.95,228.46,53.6,0
2015-09-01 09:00:00,229.64,226.55,228.45,228.32,53.21,0
2015-09-01 13:00:00,229.46,227.1,228.28,227.71,51.44,0
2015-09-01 17:00:00,228.64,226.85,227.71,228.24,52.91,0
2015-09-01 21:00:00,228.24,226.6,228.24,227.05,49.31,0
2015-09-02 01:00:00,229.21,226.51,227.05,227.85,51.69,0
2015-09-02 05:00:00,229.47,227.81,228.0,229.08,55.17,0
2015-09-02 09:00:00,229.97,228.02,229.15,229.87,57.29,0
2015-09-02 13:00:00,231.89,229.48,229.8,229.48,55.88,0
2015-09-02 17:00:00,229.99,228.9,229.48,229.71,56.56,0
2015-09-02 21:00:00,229.96,228.51,229.71,228.89,53.41,0
2015-09-03 01:00:00,229.34,226.54,229.02,228.22,50.91,0
2015-09-03 05:00:00,228.76,226.94,228.01,227.5,48.29,0
2015-09-03 09:00:00,228.69,227.22,227.46,228.0,50.21,0
2015-09-03 13:00:00,228.35,227.01,227.99,227.4,47.92,0
2015-09-03 17:00:00,227.55,226.1,227.4,227.25,47.33,0
2015-09-03 21:00:00,229.88,227.01,227.29,228.2,51.36,0
2015-09-04 01:00:00,231.42,227.7,228.2,230.41,59.18,0
2015-09-04 05:00:00,230.86,229.22,230.41,230.19,58.18,0
2015-09-04 09:00:00,230.59,229.07,230.2,230.58,59.49,0
2015-09-04 13:00:00,231.66,230.22,230.58,231.35,62.02,0
2015-09-04 17:00:00,231.61,230.88,231.34,230.89,59.62,0
2015-09-04 21:00:00,231.03,230.01,230.88,230.64,58.3,0
2015-09-05 01:00:00,230.99,230.06,230.64,230.6,58.08,1
2015-09-05 05:00:00,231.49,230.05,230.6,231.37,61.14,0
2015-09-05 09:00:00,235.66,231.0,231.37,235.06,71.76,0
2015-09-05 13:00:00,239.76,234.64,235.0,235.05,71.71,0
2015-09-05 17:00:00,237.16,235.0,235.05,235.84,73.5,0
2015-09-05 21:00:00,248.48,235.5,235.84,242.01,82.73,0
2015-09-06 01:00:00,244.0,237.06,242.01,239.53,71.89,0
2015-09-06 05:00:00,242.0,238.01,239.53,240.74,73.7,0
2015-09-06 09:00:00,245.99,240.74,240.77,241.42,74.69,0
2015-09-06 13:00:00,241.83,239.52,241.43,240.93,72.58,0
2015-09-06 17:00:00,242.81,240.49,241.0,240.98,72.66,0
2015-09-06 21:00:00,242.5,240.75,240.98,240.76,71.61,0
2015-09-07 01:00:00,241.82,239.03,240.76,241.49,73.01,0
2015-09-07 05:00:00,241.5,240.39,241.49,240.7,69.05,1
2015-09-07 09:00:00,243.0,240.24,240.7,241.58,70.94,1
2015-09-07 13:00:00,241.78,240.6,241.58,240.8,67.03,0
2015-09-07 17:00:00,241.7,240.22,240.79,240.85,67.16,0
2015-09-07 21:00:00,244.77,240.27,240.91,242.75,71.56,0
2015-09-08 01:00:00,245.44,242.6,242.98,245.0,75.72,0
2015-09-08 05:00:00,247.68,244.49,245.0,245.06,75.82,0
2015-09-08 09:00:00,246.52,242.51,245.08,242.99,65.63,0
2015-09-08 13:00:00,244.96,242.84,243.0,244.69,69.28,0
2015-09-08 17:00:00,244.79,244.01,244.6,244.2,67.07,0
2015-09-08 21:00:00,245.47,243.5,244.2,244.99,68.8,0
2015-09-09 01:00:00,245.57,240.25,244.99,241.0,53.51,0
2015-09-09 05:00:00,241.15,238.38,241.1,240.17,50.98,0
2015-09-09 09:00:00,240.84,239.23,240.17,239.78,49.78,0
2015-09-09 13:00:00,241.9,239.39,240.03,240.69,52.58,0
2015-09-09 17:00:00,240.71,238.51,240.68,239.06,47.48,0
2015-09-09 21:00:00,239.86,237.01,238.97,239.13,47.72,0
2015-09-10 01:00:00,239.57,237.01,239.09,238.65,46.2,0
2015-09-10 05:00:00,240.45,238.43,238.52,240.24,51.69,0
2015-09-10 09:00:00,241.9,239.73,240.42,240.56,52.74,0
2015-09-10 13:00:00,240.85,239.09,240.56,239.79,49.93,0
2015-09-10 17:00:00,240.49,239.01,239.75,239.49,48.85,0
2015-09-10 21:00:00,241.9,239.39,239.4,241.34,55.32,0
2015-09-11 01:00:00,242.42,239.64,241.34,241.49,55.8,0
2015-09-11 05:00:00,242.89,228.42,241.47,241.25,54.77,0
2015-09-11 09:00:00,241.49,239.51,241.25,240.54,51.73,0
2015-09-11 13:00:00,241.59,239.74,240.54,240.45,51.34,0
2015-09-11 17:00:00,241.0,240.3,240.72,240.6,51.99,0
2015-09-11 21:00:00,241.0,240.51,240.6,240.6,51.99,0
2015-09-12 01:00:00,240.6,239.82,240.6,240.47,51.3,0
2015-09-12 05:00:00,241.0,239.88,240.47,240.66,52.29,0
2015-09-12 09:00:00,240.78,239.01,240.66,239.39,45.6,0
2015-09-12 13:00:00,239.47,235.33,239.39,235.7,32.56,0
2015-09-12 17:00:00,237.8,235.51,235.76,235.77,32.95,-1
2015-09-12 21:00:00,236.85,235.34,235.77,236.06,34.64,-1
2015-09-13 01:00:00,236.47,235.33,235.89,235.41,32.65,-1
2015-09-13 05:00:00,235.73,232.51,235.45,233.92,28.59,-1
2015-09-13 09:00:00,234.71,233.48,233.92,233.49,27.53,-1
2015-09-13 13:00:00,233.49,228.95,233.48,230.6,21.69,0
2015-09-13 17:00:00,231.97,229.51,230.6,230.96,23.86,0
2015-09-13 21:00:00,232.48,229.35,231.11,229.89,21.92,0
2015-09-14 01:00:00,230.65,228.4,229.9,230.09,23.18,0
2015-09-14 05:00:00,230.44,229.15,230.09,229.99,22.98,0
