Date,High,Low,Open,Close,Volume,Adj Close
2012-01-01,5.5,4.619999885559082,4.71999979019165,5.269999980926514,553045,5.269999980926514
2012-01-02,5.46999979019165,4.800000190734863,5.269999980926514,5.21999979019165,360357,5.21999979019165
2012-01-03,5.289999961853027,4.650000095367432,5.21999979019165,4.880000114440918,619170,4.880000114440918
2012-01-04,5.699999809265137,4.75,4.880000114440918,5.570000171661377,688717,5.570000171661377
2012-01-05,7.21999979019165,5.570000171661377,5.570000171661377,6.949999809265137,1130623,6.949999809265137
2012-01-06,7.210000038146973,6.130000114440918,6.949999809265137,6.699999809265137,1481327,6.699999809265137
2012-01-07,7.019999980926514,6.380000114440918,6.699999809265137,6.809999942779541,325053,6.809999942779541
2012-01-08,7.199999809265137,6.730000019073486,6.809999942779541,7.110000133514404,403151,7.110000133514404
2012-01-09,7.190000057220459,5.809999942779541,7.110000133514404,6.329999923706055,960592,6.329999923706055
2012-01-10,6.889999866485596,6.0,6.329999923706055,6.360000133514404,705056,6.360000133514404
2012-01-11,7.139999866485596,6.409999847412109,6.360000133514404,6.900000095367432,677642,6.900000095367432
2012-01-12,7.0,6.340000152587891,6.900000095367432,6.800000190734863,944165,6.800000190734863
2012-01-13,6.800000190734863,6.400000095367432,6.800000190734863,6.409999847412109,398312,6.409999847412109
2012-01-14,6.949999809265137,6.21999979019165,6.409999847412109,6.75,935192,6.75
2012-01-15,7.079999923706055,6.739999771118164,6.75,7.0,429700,7.0
2012-01-16,7.190000057220459,6.510000228881836,7.0,6.679999828338623,837413,6.679999828338623
2012-01-17,6.949999809265137,4.639999866485596,6.679999828338623,5.599999904632568,1288538,5.599999904632568
2012-01-18,6.949999809265137,5.099999904632568,5.599999904632568,5.920000076293945,1354753,5.920000076293945
2012-01-19,6.360000133514404,5.869999885559082,5.920000076293945,6.360000133514404,709705,6.360000133514404
2012-01-20,6.579999923706055,6.260000228881836,6.360000133514404,6.489999771118164,429803,6.489999771118164
2012-01-21,6.550000190734863,6.099999904632568,6.489999771118164,6.179999828338623,407116,6.179999828338623
2012-01-22,6.449999809265137,6.099999904632568,6.179999828338623,6.309999942779541,282233,6.309999942779541
2012-01-23,6.389999866485596,6.210000038146973,6.309999942779541,6.360000133514404,111630,6.360000133514404
2012-01-24,6.389999866485596,6.21999979019165,6.360000133514404,6.289999961853027,224665,6.289999961853027
2012-01-25,6.320000171661377,5.5,6.289999961853027,5.75,782053,5.75
2012-01-26,5.920000076293945,5.300000190734863,5.75,5.340000152587891,692624,5.340000152587891
2012-01-27,5.510000228881836,5.050000190734863,5.340000152587891,5.289999961853027,611581,5.289999961853027
